County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr
21175,"Morgan County, KY",.,.,.,0.06,0.058,.,.,.,.,.
21185,"Oldham County, KY",.,.,.,0.08,0.064,.,.,.,.,.
21193,"Perry County, KY",.,.,.,0.06,0.058,.,.,12,5.9,.
21195,"Pike County, KY",.,.,.,0.06,0.055,.,.,16,8.2,.
21199,"Pulaski County, KY",.,.,.,0.07,0.061,.,.,18,8.8,.
21207,"Russell County, KY",.,.,.,.,.,.,.,.,.,.
21213,"Simpson County, KY",.,.,.,0.07,0.059,.,.,.,.,.
21221,"Trigg County, KY",.,.,.,0.07,0.064,.,.,.,.,.
21227,"Warren County, KY",.,.,.,0.07,0.06,.,.,19,9.8,.
21229,"Washington County, KY",.,.,.,0.07,0.064,.,.,.,.,.
22005,"Ascension Parish, LA",.,.,40,0.08,0.062,.,.,.,.,.
22015,"Bossier Parish, LA",.,.,.,0.08,0.067,12,4,.,.,68
22017,"Caddo Parish, LA",.,.,.,0.08,0.069,.,.,42,11.6,.
22019,"Calcasieu Parish, LA",.,.,30,0.09,0.067,31,9,17,7.9,.
22033,"East Baton Rouge Parish, LA",2.1,1.8,48,0.1,0.067,21,6,25,9.9,68
22047,"Iberville Parish, LA",.,.,36,0.1,0.068,.,.,21,8.8,.
22051,"Jefferson Parish, LA",.,.,46,0.09,0.066,.,.,18,7.9,.
22055,"Lafayette Parish, LA",.,.,.,0.08,0.066,.,.,24,11,74
22057,"Lafourche Parish, LA",.,.,.,0.08,0.065,.,.,.,.,.
22063,"Livingston Parish, LA",.,.,16,0.09,0.069,.,.,.,.,.
22071,"Orleans Parish, LA",.,.,.,0.08,0.064,.,.,.,.,52
22073,"Ouachita Parish, LA",.,.,.,0.07,0.062,.,.,30,16,.
22077,"Pointe Coupee Parish, LA",.,.,.,0.08,0.066,.,.,.,.,.
22079,"Rapides Parish, LA",.,.,.,.,.,.,.,22,10.5,.
22087,"St. Bernard Parish, LA",.,.,.,0.08,0.063,181,74,19,8.1,52
22089,"St. Charles Parish, LA",.,.,.,0.08,0.062,.,.,.,.,.
22093,"St. James Parish, LA",.,.,.,0.08,0.062,.,.,.,.,.
22095,"St. John the Baptist Parish, LA",.,.,.,0.08,0.064,.,.,.,.,.
22103,"St. Tammany Parish, LA",.,.,.,0.09,0.071,.,.,.,.,.
22105,"Tangipahoa Parish, LA",.,.,.,.,.,.,.,16,7.6,.
22109,"Terrebonne Parish, LA",.,.,.,.,.,.,.,15,7.2,.
22121,"West Baton Rouge Parish, LA",.,.,40,0.08,0.06,27,7,22,8.8,.
23001,"Androscoggin County, ME",.,.,.,0.07,0.059,.,.,30,6.9,34
23003,"Aroostook County, ME",0.6,0.4,19,0.06,0.053,3,2,24,7.7,86
23005,"Cumberland County, ME",2.1,1.4,46,0.1,0.072,12,5,23,9.8,63
23009,"Hancock County, ME",0.3,0.3,.,0.09,0.069,2,1,13,6.4,19
23011,"Kennebec County, ME",.,.,31,0.08,0.065,14,7,20,7.2,34
23013,"Knox County, ME",.,.,.,0.09,0.076,.,.,.,.,.
23017,"Oxford County, ME",.,.,.,0.07,0.052,.,.,25,8,.
23019,"Penobscot County, ME",.,.,.,0.08,0.064,.,.,19,6.1,31
23023,"Sagadahoc County, ME",.,.,.,0.08,0.061,.,.,.,.,.
23029,"Washington County, ME",.,.,.,0.07,0.062,.,.,.,.,.
23031,"York County, ME",.,.,.,0.1,0.076,.,.,.,.,.
24003,"Anne Arundel County, MD",.,.,.,0.08,0.071,.,.,22,9.1,27
24005,"Baltimore County, MD",2.2,1.4,43,0.09,0.068,21,4,27,9.5,.
24009,"Calvert County, MD",.,.,.,0.08,0.067,.,.,.,.,.
24013,"Carroll County, MD",.,.,.,0.08,0.068,.,.,.,.,.
24015,"Cecil County, MD",.,.,.,0.1,0.072,.,.,25,9.9,.
24017,"Charles County, MD",.,.,.,0.07,0.064,.,.,.,.,.
24019,"Dorchester County, MD",0.4,0.3,.,0.08,0.068,5,3,18,7.2,.
24021,"Frederick County, MD",.,.,.,0.08,0.069,.,.,.,.,.
24023,"Garrett County, MD",0.4,0.3,.,0.07,0.064,22,5,18,8.3,.
24025,"Harford County, MD",.,.,.,0.1,0.072,.,.,27,9.7,.
24029,"Kent County, MD",.,.,.,0.08,0.067,.,.,22,8.9,.
24031,"Montgomery County, MD",.,.,.,0.08,0.069,.,.,21,8.1,.
24033,"Prince George's County, MD",0.9,0.9,37,0.09,0.072,12,3,22,9.5,25
24043,"Washington County, MD",.,.,.,0.08,0.067,.,.,25,9.2,.
24510,"Baltimore (City), MD",2,1.3,47,0.08,0.063,.,.,30,11.3,31
25001,"Barnstable County, MA",.,.,.,0.08,0.071,.,.,.,.,.
25003,"Berkshire County, MA",.,.,.,0.08,0.066,.,.,16,7.4,.
25005,"Bristol County, MA",.,.,.,0.1,0.078,62,12,15,6.9,.
25007,"Dukes County, MA",.,.,.,0.08,0.065,.,.,.,.,.
25009,"Essex County, MA",0.7,0.6,39,0.09,0.073,.,.,16,6.7,.
25013,"Hampden County, MA",1.5,1.3,45,0.11,0.071,11,6,19,7.9,29
25015,"Hampshire County, MA",.,.,28,0.09,0.069,6,3,.,.,21
25017,"Middlesex County, MA",.,.,.,0.08,0.067,.,.,.,.,.
25019,"Nantucket County, MA",.,.,.,.,.,.,.,.,.,.
25021,"Norfolk County, MA",.,.,27,0.09,0.071,.,.,.,.,.
25023,"Plymouth County, MA",.,.,.,.,.,.,.,17,6.6,.
25025,"Suffolk County, MA",1.8,1.2,50,0.09,0.071,14,7,20,8.8,50
25027,"Worcester County, MA",1.9,1.3,48,0.09,0.068,8,7,18,7.2,47
26005,"Allegan County, MI",.,.,.,0.1,0.078,.,.,18,7.8,.
26017,"Bay County, MI",.,.,.,.,.,.,.,16,7.5,.
26019,"Benzie County, MI",.,.,.,0.08,0.069,.,.,.,.,.
26021,"Berrien County, MI",.,.,.,0.09,0.074,.,.,17,8,.
26027,"Cass County, MI",.,.,.,0.08,0.071,.,.,.,.,.
26033,"Chippewa County, MI",.,.,.,0.07,0.06,.,.,16,6.6,.
26037,"Clinton County, MI",.,.,.,0.07,0.064,.,.,.,.,.
26049,"Genesee County, MI",.,.,.,0.08,0.067,.,.,17,7.4,.
26063,"Huron County, MI",.,.,.,0.09,0.064,.,.,.,.,.
26065,"Ingham County, MI",.,.,37,0.08,0.066,19,5,17,7.6,.
26067,"Ionia County, MI",.,.,.,.,.,.,.,.,.,.
26077,"Kalamazoo County, MI",.,.,.,0.08,0.068,.,.,18,8.8,.
26081,"Kent County, MI",1.8,1,.,0.09,0.068,9,3,19,9,29
26091,"Lenawee County, MI",.,.,.,0.08,0.064,.,.,17,7.9,.
26099,"Macomb County, MI",.,.,.,0.1,0.072,.,.,18,8,.
26101,"Manistee County, MI",.,.,.,0.08,0.069,.,.,18,6.5,.
26105,"Mason County, MI",.,.,.,0.08,0.068,.,.,.,.,.
26113,"Missaukee County, MI",.,.,8,0.07,0.065,.,.,17,5.5,.
26115,"Monroe County, MI",.,.,.,.,.,18,5,20,9.7,.
26121,"Muskegon County, MI",.,.,.,0.09,0.073,.,.,18,9.9,.
26125,"Oakland County, MI",.,.,.,0.08,0.067,.,.,19,8.4,.
26139,"Ottawa County, MI",.,.,.,0.09,0.07,14,3,18,8.1,.
26147,"St. Clair County, MI",.,.,.,0.09,0.071,72,17,19,8.4,.
26153,"Schoolcraft County, MI",.,.,.,0.08,0.067,.,.,.,.,.
26157,"Tuscola County, MI",.,.,.,0.07,0.063,.,.,.,.,47
26161,"Washtenaw County, MI",.,.,.,0.08,0.066,.,.,19,9.2,.
26163,"Wayne County, MI",4.8,1.6,48,0.08,0.067,66,24,25,11,81
26165,"Wexford County, MI",.,.,.,0.08,0.066,.,.,.,.,.
27003,"Anoka County, MN",.,.,43,0.08,0.067,.,.,22,8.5,49
27005,"Becker County, MN",.,.,.,0.07,0.063,.,.,17,6.2,.
27017,"Carlton County, MN",.,.,.,0.07,0.059,.,.,.,.,.
27035,"Crow Wing County, MN",.,.,.,0.07,0.06,.,.,15,4,.
27037,"Dakota County, MN",3.3,2.5,38,.,.,10,4,21,8.8,.
27049,"Goodhue County, MN",.,.,.,0.07,0.062,.,.,.,.,.
27053,"Hennepin County, MN",1.6,0.8,45,0.07,0.063,15,15,23,9.1,36
27075,"Lake County, MN",.,.,6,0.06,0.058,4,1,14,4.5,81
27083,"Lyon County, MN",.,.,.,0.07,0.066,.,.,21,7.3,.
27095,"Mille Lacs County, MN",.,.,.,0.07,0.06,.,.,.,.,.
27109,"Olmsted County, MN",.,.,.,0.07,0.064,.,.,21,8.7,.
27123,"Ramsey County, MN",2.4,1.1,.,.,.,.,.,23,10.2,58
27137,"Saint Louis County, MN",4.6,1.5,.,0.07,0.057,.,.,19,7.7,59
27139,"Scott County, MN",.,.,.,0.07,0.067,.,.,20,8.6,.
27145,"Stearns County, MN",.,.,.,0.07,0.061,.,.,22,6.4,.
27163,"Washington County, MN",.,.,.,0.07,0.061,14,3,23,9.1,70
27171,"Wright County, MN",.,.,.,0.07,0.061,.,.,20,7.4,.
28011,"Bolivar County, MS",.,.,.,0.08,0.065,.,.,.,.,.
28033,"DeSoto County, MS",.,.,.,0.08,0.065,.,.,22,9.6,.
28035,"Forrest County, MS",.,.,.,.,.,.,.,21,10.2,.
28043,"Grenada County, MS",.,.,.,.,.,.,.,21,9.3,.
28045,"Hancock County, MS",.,.,.,0.07,0.063,.,.,16,8,.
28047,"Harrison County, MS",.,.,.,0.07,0.062,.,.,18,8.8,.
28049,"Hinds County, MS",1.9,1.5,.,0.08,0.06,31,4,23,11.5,32
28059,"Jackson County, MS",.,.,33,0.08,0.066,27,4,19,8.9,.
28075,"Lauderdale County, MS",.,.,.,0.07,0.061,.,.,.,.,.
28081,"Lee County, MS",.,.,.,0.07,0.061,.,.,.,.,.
28161,"Yalobusha County, MS",.,.,.,0.07,0.057,.,.,.,.,.
29003,"Andrew County, MO",.,.,.,0.08,0.066,.,.,.,.,.
29019,"Boone County, MO",.,.,.,0.08,0.062,.,.,.,.,.
29021,"Buchanan County, MO",.,.,.,.,.,.,.,24,11.2,76
29027,"Callaway County, MO",.,.,.,0.07,0.061,.,.,.,.,.
29037,"Cass County, MO",.,.,.,0.07,0.064,.,.,19,9.2,.
29039,"Cedar County, MO",.,.,.,0.07,0.064,.,.,19,8.6,.
29047,"Clay County, MO",.,.,.,0.09,0.071,.,.,19,8.8,.
29049,"Clinton County, MO",.,.,.,0.08,0.071,.,.,.,.,.
29077,"Greene County, MO",.,.,.,0.08,0.064,31,9,19,8.3,42
29087,"Holt County, MO",.,.,.,.,.,.,.,.,.,.
29093,"Iron County, MO",.,.,.,.,.,85,16,.,.,.
29095,"Jackson County, MO",1.5,1,48,.,.,156,51,23,10.5,95
29097,"Jasper County, MO",.,.,.,0.08,0.069,.,.,.,.,110
29099,"Jefferson County, MO",.,.,.,0.09,0.069,143,39,24,9.7,.
29113,"Lincoln County, MO",.,.,.,0.09,0.072,.,.,.,.,.
29137,"Monroe County, MO",.,.,.,0.07,0.061,8,3,.,.,37
29157,"Perry County, MO",.,.,.,0.07,0.065,.,.,.,.,.
29179,"Reynolds County, MO",.,.,.,.,.,.,.,.,.,.
29183,"Saint Charles County, MO",.,.,.,0.09,0.071,.,.,.,.,.
29186,"Sainte Genevieve County, MO",.,.,.,0.08,0.065,.,.,.,.,.
29187,"Saint Francois County, MO",.,.,.,.,.,.,.,.,.,.
29189,"Saint Louis County, MO",.,.,.,0.09,0.07,.,.,23,11.3,40
29213,"Taney County, MO",.,.,.,0.07,0.063,.,.,.,.,.
29510,"St. Louis City, MO",1.7,1,51,0.09,0.066,42,11,24,11.3,84
30027,"Fergus County, MT",.,.,14,0.06,0.054,.,.,11,3.6,37
30029,"Flathead County, MT",.,.,.,0.06,0.054,.,.,29,8.5,77
30031,"Gallatin County, MT",6.1,1.2,33,.,.,.,.,.,.,.
30049,"Lewis and Clark County, MT",0.4,0.3,.,0.06,0.054,2,1,24,7.4,.
30053,"Lincoln County, MT",.,.,.,.,.,.,.,30,10.9,71
30063,"Missoula County, MT",.,.,.,0.09,0.057,.,.,31,9.8,58
30071,"Phillips County, MT",.,.,6,0.06,0.053,.,.,9,3.6,24
30075,"Powder River County, MT",.,.,9,0.06,0.056,.,.,15,5,92
30081,"Ravalli County, MT",.,.,.,.,.,.,.,36,9.5,.
30083,"Richland County, MT",.,.,13,0.06,0.056,3,1,17,7.1,163
30087,"Rosebud County, MT",.,.,50,0.06,0.056,17,5,11,4,119
30089,"Sanders County, MT",.,.,.,.,.,.,.,.,.,32
30093,"Silver Bow County, MT",.,.,.,.,.,.,.,58,10.4,77
30111,"Yellowstone County, MT",.,.,.,.,.,48,18,.,.,.
31025,"Cass County, NE",.,.,.,.,.,.,.,.,.,91
31047,"Dawson County, NE",.,.,.,.,.,.,.,.,.,81
31053,"Dodge County, NE",.,.,.,.,.,.,.,.,.,.
31055,"Douglas County, NE",2.4,1.9,.,0.08,0.066,56,19,22,9.2,89
31079,"Hall County, NE",.,.,.,.,.,.,.,21,7.6,.
31107,"Knox County, NE",.,.,.,0.07,0.067,.,.,.,.,.
31109,"Lancaster County, NE",.,.,.,0.06,0.055,.,.,20,8.1,.
31127,"Nemaha County, NE",.,.,.,.,.,.,.,.,.,.
31153,"Sarpy County, NE",.,.,.,.,.,.,.,24,11,.
31157,"Scotts Bluff County, NE",.,.,.,.,.,.,.,12,5.1,.
31177,"Washington County, NE",.,.,.,.,.,.,.,21,8.2,.
32001,"Churchill County, NV",.,.,.,0.07,0.064,.,.,.,.,.
32003,"Clark County, NV",4,2.9,54,0.1,0.082,7,4,26,10.8,169
32005,"Douglas County, NV",.,.,.,.,.,.,.,171,16.5,.
32007,"Elko County, NV",.,.,.,.,.,.,.,.,.,109
32019,"Lyon County, NV",.,.,.,0.08,0.064,.,.,.,.,.
32021,"Mineral County, NV",.,.,.,.,.,.,.,.,.,21
32023,"Nye County, NV",.,.,.,.,.,.,.,.,.,153
32031,"Washoe County, NV",2.8,2.4,56,0.08,0.069,6,4,41,12.3,999
32033,"White Pine County, NV",.,.,.,0.08,0.074,.,.,.,.,.
32510,"Carson City, NV",.,.,.,0.08,0.065,.,.,98,12.1,.
33001,"Belknap County, NH",.,.,.,0.07,0.06,.,.,12,5.2,.
33005,"Cheshire County, NH",1.4,1.1,.,0.07,0.063,26,9,28,8.3,.
33007,"Coos County, NH",.,.,.,0.08,0.069,.,.,.,.,.
33009,"Grafton County, NH",.,.,.,0.07,0.061,.,.,17,6.5,.
33011,"Hillsborough County, NH",0.4,0.3,9,0.08,0.068,5,3,15,7.5,18
33013,"Merrimack County, NH",.,.,.,0.07,0.065,17,6,27,7.5,.
33015,"Rockingham County, NH",0.7,0.6,.,0.09,0.069,31,6,23,9,27
34001,"Atlantic County, NJ",.,.,.,0.08,0.07,7,2,22,8.6,.
34003,"Bergen County, NJ",.,.,.,0.09,0.074,.,.,26,8.8,.
34007,"Camden County, NJ",1.8,1.2,46,0.08,0.068,9,4,29,10.5,47
34011,"Cumberland County, NJ",.,.,.,0.08,0.061,.,.,.,.,.
34013,"Essex County, NJ",3.1,1.9,62,0.08,0.069,8,4,22,8.7,.
34015,"Gloucester County, NJ",.,.,.,0.08,0.073,.,.,25,9.1,.
34017,"Hudson County, NJ",2.7,1.8,52,0.08,0.066,10,5,29,10.5,43
34019,"Hunterdon County, NJ",.,.,.,0.09,0.073,.,.,.,.,.
34021,"Mercer County, NJ",.,.,.,0.09,0.07,.,.,24,9.1,.
34023,"Middlesex County, NJ",.,.,40,0.09,0.07,.,.,19,8,.
34025,"Monmouth County, NJ",.,.,.,0.1,0.071,.,.,.,.,.
34027,"Morris County, NJ",.,.,35,0.09,0.073,6,3,22,8.5,.
34029,"Ocean County, NJ",.,.,.,0.09,0.07,.,.,19,8.1,.
34031,"Passaic County, NJ",.,.,.,0.09,0.069,.,.,25,8.8,.
34039,"Union County, NJ",2.4,1.7,62,.,.,14,6,31,10.9,.
34041,"Warren County, NJ",.,.,43,0.09,0.061,81,14,22,8.5,.
35001,"Bernalillo County, NM",2.4,1.1,45,0.08,0.07,4,2,20,8.7,155
35013,"Dona Ana County, NM",.,.,41,0.09,0.08,.,.,16,6.6,515
35015,"Eddy County, NM",.,.,17,0.08,0.069,.,.,.,.,.
35017,"Grant County, NM",.,.,.,0.06,0.058,1,0,.,.,44
35025,"Lea County, NM",.,.,30,0.08,0.068,.,.,27,7.9,47
35029,"Luna County, NM",.,.,29,0.07,0.067,.,.,.,.,493
35031,"McKinley County, NM",.,.,.,.,.,.,.,.,.,54
35039,"Rio Arriba County, NM",.,.,.,0.08,0.066,.,.,.,.,.
35043,"Sandoval County, NM",.,.,.,0.07,0.067,.,.,.,.,22
35045,"San Juan County, NM",.,.,41,0.08,0.07,25,3,16,5.3,48
35049,"Santa Fe County, NM",.,.,.,0.07,0.068,.,.,12,5,25
35055,"Taos County, NM",.,.,.,.,.,.,.,.,.,52
35061,"Valencia County, NM",.,.,.,0.08,0.072,.,.,.,.,.
36001,"Albany County, NY",1,0.8,.,0.07,0.064,9,4,20,7.1,.
36005,"Bronx County, NY",2,1.3,60,0.09,0.071,22,10,26,9.1,.
36013,"Chautauqua County, NY",.,.,.,0.08,0.066,15,4,18,7.5,.
36027,"Dutchess County, NY",.,.,.,0.08,0.065,5,4,.,.,.
36029,"Erie County, NY",1.9,1.3,47,0.08,0.071,20,9,20,8,.
36031,"Essex County, NY",.,.,.,0.08,0.065,3,2,12,4.4,.
36033,"Franklin County, NY",.,.,29,0.07,0.056,11,4,.,.,.
36041,"Hamilton County, NY",.,.,.,0.07,0.063,3,1,.,.,.
36043,"Herkimer County, NY",.,.,.,0.07,0.061,3,2,.,.,.
36045,"Jefferson County, NY",.,.,.,0.08,0.066,.,.,.,.,.
36047,"Kings County, NY",.,.,.,.,.,.,.,24,9.3,.
36055,"Monroe County, NY",1.1,0.8,.,0.07,0.064,17,5,18,7.2,.
36059,"Nassau County, NY",.,.,.,.,.,6,3,.,.,.
36061,"New York County, NY",1.8,1.2,.,0.08,0.062,.,.,26,11.3,.
36063,"Niagara County, NY",.,.,.,0.07,0.065,.,.,19,6.5,.
36067,"Onondaga County, NY",.,.,.,0.07,0.065,5,3,16,6.4,.
36071,"Orange County, NY",.,.,.,0.07,0.057,.,.,20,7.1,.
36075,"Oswego County, NY",.,.,.,0.07,0.063,.,.,.,.,.
36079,"Putnam County, NY",.,.,.,0.09,0.067,6,2,.,.,.
36081,"Queens County, NY",1.8,1,59,0.09,0.071,12,6,25,8.4,.
36085,"Richmond County, NY",.,.,.,0.09,0.071,.,.,18,7.7,.
36087,"Rockland County, NY",.,.,.,0.09,0.069,.,.,.,.,.
36091,"Saratoga County, NY",.,.,.,0.07,0.062,.,.,.,.,.
36101,"Steuben County, NY",0.4,0.4,.,0.07,0.061,8,4,15,5.7,.
36103,"Suffolk County, NY",.,.,.,0.12,0.078,9,5,21,7.6,.
36109,"Tompkins County, NY",.,.,.,0.07,0.065,.,.,.,.,.
36117,"Wayne County, NY",.,.,.,0.07,0.066,.,.,.,.,.
36119,"Westchester County, NY",.,.,.,0.09,0.072,.,.,.,.,.
37001,"Alamance County, NC",.,.,.,.,.,.,.,21,8.6,.
37003,"Alexander County, NC",.,.,.,0.07,0.063,.,.,.,.,.
37011,"Avery County, NC",.,.,.,0.07,0.064,.,.,.,.,.
37013,"Beaufort County, NC",.,.,.,.,.,22,6,.,.,.
37021,"Buncombe County, NC",.,.,.,0.07,0.061,.,.,16,8.2,.
37027,"Caldwell County, NC",.,.,.,0.07,0.062,9,2,.,.,.
37031,"Carteret County, NC",.,.,.,0.07,0.062,.,.,.,.,.
37033,"Caswell County, NC",.,.,.,0.08,0.062,.,.,22,9.9,27
37035,"Catawba County, NC",.,.,.,.,.,.,.,21,9.6,29
37037,"Chatham County, NC",.,.,.,0.07,0.057,.,.,17,7.2,.
37051,"Cumberland County, NC",.,.,.,0.08,0.062,1,0,19,8.8,27
37057,"Davidson County, NC",.,.,.,.,.,.,.,19,9.3,.
37059,"Davie County, NC",.,.,.,0.07,0.061,.,.,.,.,.
37061,"Duplin County, NC",.,.,.,.,.,.,.,21,9.7,21
37063,"Durham County, NC",.,.,.,0.08,0.062,6,1,18,7.8,24
37065,"Edgecombe County, NC",.,.,.,0.08,0.064,.,.,17,7.9,.
37067,"Forsyth County, NC",2.4,1.7,37,0.08,0.066,5,2,20,8.3,26
37069,"Franklin County, NC",.,.,.,0.07,0.06,.,.,.,.,.
37071,"Gaston County, NC",.,.,.,.,.,.,.,18,8.8,27
37075,"Graham County, NC",.,.,.,0.07,0.064,.,.,.,.,.
37077,"Granville County, NC",.,.,.,0.08,0.063,.,.,.,.,.
37081,"Guilford County, NC",.,.,.,0.08,0.062,.,.,19,8.7,26
37087,"Haywood County, NC",.,.,.,0.07,0.066,.,.,18,8.4,.
37099,"Jackson County, NC",.,.,.,0.07,0.068,.,.,16,8.1,.
37101,"Johnston County, NC",.,.,.,0.07,0.062,.,.,17,7.4,.
37107,"Lenoir County, NC",.,.,.,0.07,0.063,.,.,18,7.4,.
37109,"Lincoln County, NC",.,.,.,0.08,0.064,.,.,.,.,.
37111,"McDowell County, NC",.,.,.,.,.,.,.,17,9,.
37113,"Macon County, NC",.,.,.,0.08,0.063,.,.,.,.,.
37117,"Martin County, NC",.,.,.,0.07,0.066,4,2,20,9.4,.
37119,"Mecklenburg County, NC",1.9,1.6,39,0.08,0.067,8,2,18,9.1,45
37121,"Mitchell County, NC",.,.,.,.,.,.,.,18,8.2,.
37123,"Montgomery County, NC",.,.,.,0.07,0.061,.,.,19,9.2,.
37129,"New Hanover County, NC",.,.,.,0.07,0.064,45,8,20,10,.
37145,"Person County, NC",.,.,.,0.08,0.059,.,.,.,.,.
37147,"Pitt County, NC",.,.,.,0.07,0.063,.,.,15,7.2,.
37155,"Robeson County, NC",.,.,.,.,.,.,.,17,7.9,.
37157,"Rockingham County, NC",.,.,.,0.07,0.062,.,.,.,.,.
37159,"Rowan County, NC",.,.,.,0.08,0.063,.,.,19,9.2,.
37173,"Swain County, NC",.,.,.,0.07,0.056,.,.,18,7.7,.
37179,"Union County, NC",.,.,.,0.07,0.062,.,.,.,.,.
37183,"Wake County, NC",1.5,1.2,.,0.07,0.061,6,2,22,10.6,27
37189,"Watauga County, NC",.,.,.,.,.,.,.,14,7.1,.
37191,"Wayne County, NC",.,.,.,.,.,.,.,22,10.6,.
37199,"Yancey County, NC",.,.,.,0.07,0.065,.,.,.,.,.
38007,"Billings County, ND",.,.,.,0.06,0.057,4,2,12,4.7,.
38013,"Burke County, ND",.,.,13,0.07,0.059,31,8,15,5.7,37
38015,"Burleigh County, ND",.,.,34,0.07,0.062,16,6,17,6.7,71
38017,"Cass County, ND",0.8,0.3,36,0.07,0.059,4,1,18,7.2,62
38025,"Dunn County, ND",.,.,10,0.06,0.057,7,2,13,4.3,74
38053,"McKenzie County, ND",.,.,11,0.06,0.059,12,3,11,3.6,19
38057,"Mercer County, ND",.,.,21,0.07,0.059,22,7,18,6.2,28
38065,"Oliver County, ND",.,.,15,0.07,0.061,24,4,14,5,39
38105,"Williams County, ND",.,.,.,0.06,0.059,264,41,22,9.6,76
39001,"Adams County, OH",.,.,.,.,.,24,8,.,.,.
39003,"Allen County, OH",.,.,.,0.08,0.068,7,4,19,9.9,.
39007,"Ashtabula County, OH",.,.,.,0.08,0.07,29,6,.,.,.
39009,"Athens County, OH",.,.,.,.,.,.,.,16,8.1,.
39013,"Belmont County, OH",.,.,.,.,.,33,10,.,.,.
39017,"Butler County, OH",.,.,.,0.08,0.069,47,10,26,13.3,106
39023,"Clark County, OH",.,.,.,0.08,0.071,17,8,24,10.1,.
39025,"Clermont County, OH",.,.,.,0.08,0.066,.,.,.,.,.
39027,"Clinton County, OH",.,.,.,0.08,0.064,.,.,.,.,.
39029,"Columbiana County, OH",.,.,.,.,.,28,7,.,.,31
39035,"Cuyahoga County, OH",7.8,4.6,53,0.08,0.069,66,25,26,13,95
39041,"Delaware County, OH",.,.,.,0.08,0.07,.,.,.,.,.
39047,"Fayette County, OH",.,.,.,0.08,0.064,.,.,.,.,.
39049,"Franklin County, OH",1.6,1,39,0.08,0.073,13,5,24,10.7,41
39051,"Fulton County, OH",.,.,.,.,.,.,.,.,.,.
39055,"Geauga County, OH",.,.,.,0.08,0.065,.,.,.,.,.
39057,"Greene County, OH",.,.,.,0.09,0.066,.,.,19,10,23
39061,"Hamilton County, OH",1.5,0.9,44,0.08,0.069,68,17,26,12,43
39081,"Jefferson County, OH",.,.,.,0.08,0.066,52,12,26,11.9,40
39083,"Knox County, OH",.,.,.,0.08,0.067,.,.,.,.,.
39085,"Lake County, OH",1.6,1.5,.,0.08,0.07,119,31,19,9.5,35
39087,"Lawrence County, OH",.,.,.,0.07,0.063,22,16,19,9.1,27
39089,"Licking County, OH",.,.,.,0.07,0.065,.,.,.,.,.
39091,"Logan County, OH",.,.,.,.,.,.,.,.,.,.
39093,"Lorain County, OH",.,.,.,0.07,0.06,.,.,21,9.1,21
39095,"Lucas County, OH",.,.,.,0.08,0.068,29,8,22,10.2,.
39097,"Madison County, OH",.,.,.,0.07,0.066,.,.,.,.,.
39099,"Mahoning County, OH",.,.,.,0.07,0.063,27,7,23,10.9,39
39101,"Marion County, OH",.,.,.,.,.,.,.,.,.,.
39103,"Medina County, OH",.,.,.,0.07,0.065,.,.,23,9.1,.
39105,"Meigs County, OH",.,.,.,.,.,33,6,.,.,.
39109,"Miami County, OH",.,.,.,0.08,0.07,.,.,.,.,.
39113,"Montgomery County, OH",1.8,1.2,.,0.08,0.069,.,.,23,10.9,32
39115,"Morgan County, OH",.,.,.,.,.,124,39,.,.,.
39121,"Noble County, OH",.,.,.,0.08,0.063,.,.,.,.,.
39133,"Portage County, OH",.,.,.,0.07,0.058,.,.,23,8.9,.
39135,"Preble County, OH",1.5,0.4,.,0.07,0.067,16,5,21,9.7,.
39145,"Scioto County, OH",.,.,.,.,.,14,4,18,9.4,40
39151,"Stark County, OH",1.3,0.9,.,0.08,0.07,.,.,28,12,.
39153,"Summit County, OH",1.3,0.8,.,0.07,0.06,59,19,25,10.9,.
39155,"Trumbull County, OH",.,.,.,0.08,0.068,.,.,25,9.8,32
39165,"Warren County, OH",.,.,.,0.09,0.067,.,.,.,.,.
39167,"Washington County, OH",.,.,.,0.08,0.063,.,.,.,.,.
39173,"Wood County, OH",.,.,.,0.07,0.065,.,.,.,.,.
40001,"Adair County, OK",0.6,0.4,.,0.07,0.066,5,2,.,.,62
40013,"Bryan County, OK",.,.,.,0.08,0.069,.,.,.,.,.
40015,"Caddo County, OK",.,.,.,0.08,0.065,.,.,.,.,.
40017,"Canadian County, OK",.,.,41,0.08,0.071,.,.,.,.,.
40021,"Cherokee County, OK",.,.,.,0.08,0.065,.,.,.,.,.
40027,"Cleveland County, OK",.,.,.,0.08,0.069,.,.,21,9.9,.
40031,"Comanche County, OK",.,.,.,0.08,0.072,.,.,22,9.1,.
40037,"Creek County, OK",.,.,.,0.08,0.068,.,.,.,.,.
40043,"Dewey County, OK",.,.,.,0.08,0.069,.,.,.,.,.
40067,"Jefferson County, OK",.,.,.,0.09,0.074,.,.,.,.,.
40071,"Kay County, OK",.,.,.,0.08,0.073,30,9,20,9.1,.
40085,"Love County, OK",.,.,.,0.09,0.078,.,.,22,10,.
40087,"McClain County, OK",.,.,.,0.08,0.066,.,.,.,.,.
